"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","ID"
0.417,0.62,3,-7.727,1,0.0403,0.49,0,0.0779,0.845,185.655,173533,3,32.94975,9,"Yes",21107
0.498,0.505,3,-12.475,1,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,48.8251,10,"No",21108
0.657,0.649,5,-13.392,1,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,37.22663,12,"No",21109
0.697,0.673,0,-10.573,1,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,65.48604,7,"No",21110
0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,47.82155,7,"No",21111
0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,"Yes",21112
0.717,0.565,2,-8.606,0,0.0283,0.451,0,0.108,0.961,100.757,134507,4,49.41165,6,"No",21113
0.746,0.666,2,-10.408,1,0.146,0.543,0,0.0488,0.84,94.024,192427,4,78.59848,5,"Yes",21114
0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,"No",21115
0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,90.21302,14,"No",21116
0.147,0.246,1,-16.997,1,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,76.04885,18,"No",21117
0.48,0.225,3,-15.402,1,0.031,0.78,0,0.0877,0.58,128.017,217907,4,25.38117,13,"Yes",21118
0.213,0.0581,8,-22.425,0,0.0487,0.982,0.69,0.167,0.0395,84.048,175453,4,60.08926,6,"No",21119
0.427,0.14,9,-19.857,0,0.034,0.549,1.03e-06,0.0443,0.293,137.787,207293,4,70.51508,8,"No",21120
0.81,0.524,7,-9.77,0,0.0339,0.77,1.03e-05,0.161,0.949,130.214,153093,4,32.41693,8,"Yes",21121
0.498,0.527,5,-9.263,1,0.0298,0.0789,0,0.571,0.868,123.042,158267,4,31.82922,9,"Yes",21122
0.463,0.463,8,-12.178,1,0.0349,0.616,0.00157,0.584,0.811,109.603,69827,4,21.74699,5,"No",21123
0.515,0.699,0,-7.316,0,0.0483,0.657,0,0.154,0.783,111.28,175400,4,34.57855,9,"Yes",21124
0.528,0.493,0,-12.346,1,0.0298,0.414,0,0.674,0.888,118.575,156507,4,29.90294,8,"No",21125
0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,37.34774,10,"Yes",21126
0.56,0.821,7,-4.09,1,0.0313,0.0853,0.000215,0.0592,0.793,117.568,148560,4,47.26445,6,"No",21127
0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,21.35312,9,"Yes",21128
0.257,0.378,5,-9.61,1,0.0329,0.739,6.12e-05,0.12,0.385,81.541,193853,4,28.47678,11,"No",21129
0.721,0.137,1,-22.806,1,0.952,0.934,1e-04,0.128,0.495,86.454,106867,4,62.04209,4,"No",21130
0.597,0.365,2,-12.031,0,0.0794,0.458,0,0.438,0.782,127.97,159133,4,53.1298,8,"No",21131
0.559,0.41,9,-13.831,0,0.0495,0.224,0.78,0.0608,0.618,140.173,293147,4,45.08015,15,"No",21132
0.475,0.474,3,-13.897,1,0.273,0.488,0.00501,0.0756,0.965,90.467,277013,4,34.274,11,"No",21133
0.763,0.621,2,-9.908,1,0.0374,0.655,0,0.158,0.825,103.309,144320,4,33.20734,6,"Yes",21134
0.583,0.556,8,-12.165,0,0.0339,0.372,0,0.676,0.783,133.215,150373,4,59.0632,7,"No",21135
0.611,0.697,9,-8.43,1,0.0437,0.406,0,0.24,0.971,139.521,182067,4,36.37854,9,"No",21136
0.762,0.496,7,-12.845,0,0.289,0.493,0,0.325,0.704,122.049,155121,4,34.19932,9,"No",21137
0.275,0.241,10,-14.526,1,0.0293,0.805,0.0124,0.135,0.221,80.842,134640,4,59.05727,7,"Yes",21138
0.619,0.625,7,-9.635,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751,181307,4,21.41004,9,"Yes",21139
0.608,0.0113,5,-32.324,1,0.0677,0.934,0.812,0.107,0.15,115.358,175800,4,51.19907,8,"No",21140
0.492,0.47,0,-8.732,1,0.0275,0.703,0,0.373,0.559,110.284,188307,3,41.04032,10,"No",21141
0.728,0.669,9,-8.755,0,0.24,0.857,0,0.11,0.862,126.755,111827,3,28.09344,7,"No",21142
0.402,0.789,9,-6.148,1,0.124,0.891,0,0.294,0.949,172.346,139440,4,32.58046,7,"Yes",21143
0.306,0.495,5,-7.663,1,0.0273,0.621,0,0.37,0.666,165.462,193733,3,39.36782,10,"Yes",21144
0.849,0.898,7,-6.064,1,0.0388,0.734,0.865,0.0438,0.967,134.396,120987,4,44.15837,5,"No",21145
0.548,0.566,10,-11.876,1,0.0307,0.672,1.22e-05,0.112,0.805,100.813,187400,4,40.80977,10,"Yes",21146
0.668,0.835,0,-0.507,0,0.0341,0.0941,1.17e-06,0.116,0.821,125.228,145293,4,20.93334,9,"Yes",21147
0.66,0.743,8,-6.881,1,0.0325,0.302,0.0205,0.134,0.96,122.668,155867,4,33.07734,8,"Yes",21148
0.784,0.508,0,-9.541,0,0.039,0.641,0.508,0.084,0.488,121.314,138493,4,52.50819,7,"Yes",21149
0.708,0.616,5,-10.827,1,0.198,0.445,0,0.299,0.908,177.061,156160,4,33.57208,8,"Yes",21150
0.485,0.779,7,-14.235,1,0.039,0.367,0.432,0.18,0.483,133.223,129293,4,63.91615,8,"Yes",21151
0.468,0.102,11,-17.171,1,0.0381,0.995,0.000853,0.166,0.312,165.59,177253,4,36.73757,9,"No",21152
0.622,0.644,3,-7.484,1,0.0367,0.586,0,0.0594,0.666,139.166,173653,4,20.97044,10,"Yes",21153
0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,130173,4,40.04655,8,"Yes",21154
0.604,0.505,9,-12.404,1,0.0487,0.146,0.000286,0.0975,0.707,121.588,124080,4,40.20506,7,"Yes",21155
0.78,0.429,0,-11.808,0,0.0445,0.217,0.0247,0.11,0.904,146.477,159418,4,25.37664,8,"No",21156
0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,148507,4,57.92996,7,"No",21157
0.304,0.519,8,-8.825,1,0.0359,0.21,0.00187,0.221,0.294,101.289,1119400,4,41.68337,41,"No",21158
0.775,0.688,3,-12.959,1,0.0699,0.224,0.0411,0.117,0.93,94.143,158508,4,42.2136,8,"Yes",21159
0.145,0.167,9,-21.377,1,0.0289,0.807,0.0506,0.117,0.117,84.766,66101,4,27.23322,5,"No",21160
0.559,0.121,2,-19.291,0,0.443,0.888,0,0.651,0.443,82.343,60067,4,32.68329,3,"No",21161
0.371,0.929,9,-5.37,1,0.133,0.646,0,0.348,0.836,157.875,145227,4,34.36707,7,"Yes",21162
0.145,0.187,6,-17.613,1,0.0404,0.942,0.00277,0.0958,0.039,86.726,226333,4,40.63766,9,"No",21163
0.349,0.208,8,-15.491,1,0.037,0.799,0.217,0.13,0.176,135.098,160267,3,24.0336,11,"Yes",21164
0.211,0.578,7,-5.611,1,0.0465,0.864,0.907,0.11,0.0553,109.781,76933,4,50.55957,4,"No",21165
0.683,0.464,0,-12.06,1,0.0566,0.0859,0.0632,0.152,0.657,89.62,143373,4,33.79143,6,"No",21166
0.458,0.25,1,-8.087,1,0.0324,0.461,0,0.136,0.412,121.074,209080,3,29.1455,12,"Yes",21167
0.563,0.447,0,-15.218,1,0.0323,0.81,0.00484,0.186,0.743,127.384,213000,4,25.19069,12,"No",21168
0.253,0.04,11,-25.433,0,0.0391,0.661,0.302,0.114,0.0379,93.606,80707,3,14.29188,3,"No",21169
0.519,0.38,10,-22.881,0,0.0378,0.384,0.889,0.0659,0.72,112.145,579467,4,41.12642,29,"No",21170
0.343,0.364,2,-16.701,0,0.103,0.341,0.0966,0.0413,0.393,137.348,192280,4,28.26109,9,"No",21171
0.587,0.715,3,-5.48,1,0.115,0.482,0,0.0976,0.951,155.946,206021,4,67.47362,8,"No",21172
0.585,0.377,5,-13.253,1,0.0407,0.856,0.053,0.105,0.431,120.386,135640,3,57.26536,7,"Yes",21173
0.562,0.646,0,-10.697,0,0.0532,0.491,0,0.902,0.798,98.019,211091,4,41.66217,7,"No",21174
0.62,0.599,5,-4.746,1,0.28,0.899,0.00182,0.156,0.835,157.555,273920,3,40.2211,12,"No",21175
0.7,0.626,3,-11.611,1,0.0315,0.72,6.55e-05,0.0974,0.964,112.826,148640,4,29.03452,9,"Yes",21176
0.632,0.758,0,-3.414,1,0.0257,0.551,0.0446,0.173,0.948,109.427,140987,4,26.75254,8,"Yes",21177
0.748,0.788,2,-11.284,1,0.067,0.135,3.81e-06,0.501,0.626,130.506,162333,4,19.26742,10,"Yes",21178
0.549,0.289,0,-16.129,1,0.0486,0.761,0,0.0694,0.45,111.828,164440,4,32.25757,8,"No",21179
0.414,0.65,2,-9.028,0,0.0648,0.716,0.0252,0.291,0.51,175.245,163067,4,33.32711,9,"No",21180
0.486,0.526,11,-9.835,1,0.0415,0.21,0.00183,0.604,0.585,121.157,132467,4,53.36009,5,"Yes",21181
0.637,0.916,7,-6.95,1,0.0458,0.0139,2.27e-05,0.21,0.506,114.987,247173,4,43.50466,8,"Yes",21182
0.648,0.539,7,-11.514,0,0.0503,0.836,0.0781,0.146,0.781,131.569,150067,4,87.64104,5,"Yes",21183
0.58,0.617,0,-8.706,1,0.0493,0.727,0,0.393,0.831,120.496,134013,4,41.91757,8,"Yes",21184
0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,140920,4,33.98704,7,"Yes",21185
0.567,0.762,3,-12.355,1,0.0306,0.0741,0.415,0.377,0.813,145.513,163213,4,39.11564,10,"No",21186
0.638,0.453,7,-7.744,1,0.026,0.757,0,0.277,0.614,97.303,178320,4,22.28787,10,"No",21187
0.29,0.2,8,-12.748,1,0.0275,0.894,0.000569,0.221,0.233,88.654,163400,4,24.92348,9,"Yes",21188
0.162,0.0383,2,-29.914,1,0.0375,0.242,0.354,0.205,0.0766,130.875,49533,4,5.69742,3,"No",21189
0.567,0.927,2,-5.687,1,0.0824,0.126,0.000196,0.123,0.462,113.898,242600,4,51.86658,13,"No",21190
0.566,0.511,0,-8.13,0,0.0353,0.773,0,0.299,0.747,127.417,143573,4,47.77083,7,"No",21191
0.094,0.104,7,-22.329,0,0.0316,0.985,0.943,0.158,0.0817,76.555,127107,1,83.21777,5,"No",21192
0.404,0.947,6,-4.692,1,0.149,0.615,2.95e-06,0.676,0.482,96.118,290893,4,19.77103,11,"No",21193
0.505,0.758,1,-13.312,1,0.177,0.808,1.1e-05,0.0583,0.764,91.686,353637,3,28.48978,16,"No",21194
0.177,0.279,9,-10.951,0,0.0312,0.8,0.0024,0.153,0.155,82.967,193373,3,20.98618,9,"Yes",21195
0.522,0.0902,0,-22.234,1,0.0279,0.691,0.448,0.116,0.288,95.872,142107,5,38.47753,7,"No",21196
0.633,0.504,1,-11.59,1,0.0437,0.774,3.41e-06,0.284,0.95,123.219,59598,4,35.55979,3,"No",21197
0.446,0.538,4,-11.805,0,0.195,0.879,0.00229,0.952,0.786,144.075,163143,3,70.95664,5,"No",21198
0.431,0.454,7,-14.31,1,0.0302,0.524,0.13,0.116,0.585,129.589,83360,4,35.03921,5,"No",21199
0.181,0.294,5,-15.448,1,0.0395,0.987,0.0085,0.113,0.0577,101.506,186160,4,74.69106,10,"No",21200
0.638,0.622,1,-10.035,0,0.0265,0.809,0.00385,0.0416,0.871,130.354,146400,4,21.2237,9,"Yes",21201
0.48,0.7,7,-10.989,1,0.209,0.0522,0,0.645,0.3,111.388,183520,4,111.90201,6,"No",21202
0.538,0.568,2,-5.7,1,0.0266,0.376,0.829,0.169,0.712,99.397,128800,3,34.85936,6,"Yes",21203
0.387,0.495,9,-8.923,0,0.0283,0.487,0.00814,0.112,0.58,143.993,182640,4,42.23437,9,"No",21204
0.321,0.0227,8,-22.698,1,0.0349,0.953,0,0.313,0.312,83.319,155733,4,23.66008,8,"Yes",21205
0.537,0.424,1,-11.448,1,0.0562,0.109,0,0.238,0.665,119.392,132453,4,21.89757,8,"Yes",21206
0.379,0.276,9,-10.561,0,0.0465,0.747,0,0.186,0.521,151.211,184133,3,45.34149,11,"No",21207
0.369,0.386,4,-9.105,1,0.03,0.866,8.37e-06,0.122,0.325,116.428,160267,4,22.81274,11,"No",21208
0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760,4,27.65453,11,"Yes",21209
0.609,0.535,9,-8.913,0,0.0519,0.357,7.27e-06,0.124,0.681,84.982,131440,4,57.30981,6,"No",21210
0.604,0.709,8,-6.377,1,0.158,0.0987,0,0.0551,0.907,167.832,137360,4,38.78992,9,"Yes",21211
0.438,0.749,11,-10.815,0,0.0852,0.038,0.829,0.0762,0.567,126.825,205600,4,31.17982,10,"Yes",21212
0.565,0.549,0,-13.023,1,0.0618,0.583,0,0.236,0.769,121.97,123160,4,19.38835,7,"No",21213
0.14,0.0282,7,-29.836,0,0.0378,0.982,0.89,0.109,0.0366,141.12,456133,1,34.74756,18,"No",21214
0.562,0.715,2,-8.481,1,0.0272,0.522,0,0.185,0.908,102.009,157467,4,28.6427,8,"Yes",21215
0.718,0.572,11,-9.709,0,0.0603,0.903,3.37e-05,0.0816,0.684,133.386,230087,3,25.52221,10,"No",21216
0.484,0.412,2,-6.509,1,0.0345,0.855,0,0.135,0.772,135.355,142067,4,44.58351,5,"No",21217
0.445,0.407,1,-9.501,1,0.0302,0.814,0,0.0964,0.531,105.7,186400,4,36.37958,9,"Yes",21218
0.494,0.632,10,-12.71,0,0.0271,0.89,0.0144,0.154,0.95,133.49,185480,4,26.29471,9,"No",21219
0.546,0.156,2,-18.601,1,0.0617,0.942,8.83e-06,0.226,0.466,80.106,154667,4,55.32668,8,"No",21220
0.381,0.552,9,-15.091,0,0.032,0.661,0.811,0.282,0.965,159.946,118960,4,33.42258,7,"Yes",21221
0.275,0.304,0,-12.556,1,0.0362,0.097,0.268,0.135,0.183,168.382,216493,4,23.82062,13,"No",21222
0.595,0.471,1,-10.626,0,0.0295,0.0156,0.127,0.173,0.707,95.417,207613,4,32.21417,10,"Yes",21223
0.368,0.259,6,-11.115,1,0.0277,0.95,6.93e-06,0.115,0.415,82.312,135733,4,23.10522,8,"Yes",21224
0.358,0.352,0,-11.467,1,0.04,0.717,0.895,0.328,0.808,135.425,190467,4,34.32962,11,"No",21225
0.497,0.19,10,-11.957,1,0.0342,0.98,0.908,0.0993,0.349,117.05,309267,4,20.50086,18,"No",21226
0.459,0.61,9,-8.231,1,0.133,0.764,2.91e-06,0.11,0.865,202.036,257960,4,32.63404,12,"No",21227
0.658,0.405,9,-9.438,1,0.0356,0.242,6.57e-05,0.0943,0.666,119.878,168293,4,66.15212,10,"Yes",21228
0.405,0.269,0,-18.225,1,0.048,0.944,0.975,0.141,0.116,122.153,73573,4,14.11011,3,"No",21229
0.304,0.196,10,-20.708,0,0.0524,0.961,0.952,0.948,0.139,133.025,219147,5,31.52418,10,"No",21230
0.711,0.362,3,-10.851,0,0.0382,0.272,0,0.127,0.615,117.267,194293,4,39.45121,10,"Yes",21231
0.593,0.549,7,-6.591,0,0.0279,0.8,0,0.118,0.865,109.465,155893,4,37.25066,9,"Yes",21232
0.201,0.178,9,-16.461,0,0.0334,0.916,0.906,0.0565,0.0519,80.312,343973,4,53.46055,17,"No",21233
0.253,0.454,2,-11.041,1,0.0361,0.393,2.69e-06,0.0556,0.541,168.486,185667,3,37.65256,9,"Yes",21234
0.254,0.183,5,-13.423,1,0.0356,0.568,0.03,0.0952,0.289,183.713,192467,4,22.53801,10,"No",21235
0.753,0.21,4,-20.219,0,0.907,0.108,0,0.366,0.448,59.163,70147,4,27.26513,3,"No",21236
0.696,0.0453,3,-24.822,0,0.483,0.974,0,0.13,0.356,108.182,226427,4,32.26065,9,"No",21237
0.407,0.312,10,-12.634,1,0.026,0.822,2.47e-06,0.0896,0.421,90.217,172867,3,20.76936,9,"Yes",21238
0.67,0.507,7,-8.274,0,0.0387,0.717,0,0.182,0.847,145.581,142133,4,47.06948,6,"Yes",21239
0.292,0.273,7,-22.677,1,0.0535,0.659,0.618,0.177,0.0383,67.354,145747,3,63.69562,4,"No",21240
0.477,0.148,1,-22.719,1,0.038,0.903,0.000376,0.111,0.291,128.251,190373,3,23.38268,13,"Yes",21241
0.45,0.805,11,-8.229,1,0.0684,0.792,2.98e-06,0.417,0.494,138.006,163373,4,23.81117,10,"Yes",21242
0.409,0.705,0,-9.439,1,0.0363,0.311,4.13e-05,0.215,0.87,110.318,194867,4,24.88888,9,"No",21243
0.62,0.747,4,-6.326,0,0.0271,0.0886,4.56e-05,0.335,0.667,115.251,176960,4,47.83454,9,"No",21244
0.269,0.15,7,-22.947,1,0.0393,0.905,0.0022,0.784,0.12,89.037,193870,3,165.17163,4,"No",21245
0.535,0.874,4,-5.698,0,0.0529,0.869,0.0519,0.223,0.944,126.294,189434,4,54.67636,8,"No",21246
0.421,0.149,5,-11.599,1,0.0352,0.874,0,0.0971,0.486,89.917,139400,4,34.46684,7,"No",21247
0.326,0.457,4,-8.162,0,0.0287,0.555,2.05e-06,0.389,0.378,89.877,148213,4,35.07673,9,"No",21248
0.512,0.398,6,-8.581,1,0.0269,0.805,0.00434,0.218,0.425,85.61,166307,4,20.23604,9,"No",21249
0.38,0.13,2,-17.021,1,0.0306,0.825,0,0.14,0.217,100.939,180667,4,61.13558,7,"Yes",21250
0.475,0.831,8,-6.502,1,0.318,0.59,0,0.386,0.731,177.452,144707,4,48.69441,7,"Yes",21251
0.222,0.459,6,-6.538,1,0.0308,0.951,0.000162,0.322,0.236,178.879,165627,3,41.47399,7,"Yes",21252
0.38,0.286,10,-13.694,0,0.029,0.671,0,0.106,0.426,103.722,202160,4,29.33468,12,"No",21253
0.34,0.477,2,-12.165,1,0.0476,0.649,0.762,0.193,0.219,178.089,177775,4,58.79819,8,"No",21254
0.553,0.677,4,-10.831,0,0.0712,0.423,0.962,0.185,0.768,153.174,153973,4,36.52598,6,"Yes",21255
0.258,0.157,1,-20.216,1,0.045,0.864,0.686,0.0991,0.0349,88.944,183828,3,56.343,6,"No",21256
0.432,0.712,0,-7.655,0,0.0839,0.502,0.0096,0.0679,0.685,126.236,187098,4,23.78493,8,"No",21257
0.105,0.195,8,-17.114,0,0.0411,0.877,0.886,0.121,0.313,177.895,136013,3,24.3621,9,"No",21258
0.472,0.454,0,-16.715,0,0.05,0.776,0.859,0.111,0.387,114.392,443200,4,34.65782,17,"No",21259
0.377,0.126,0,-20.972,1,0.0469,0.943,2.28e-05,0.272,0.223,59.856,159240,3,57.11172,8,"No",21260
0.408,0.364,7,-14.743,1,0.0277,0.665,0.00862,0.301,0.429,96.429,147493,4,30.16817,9,"Yes",21261
0.407,0.479,2,-14.781,1,0.0329,0.191,0.901,0.352,0.919,155.252,140413,4,26.5629,8,"Yes",21262
0.45,0.368,7,-11.057,0,0.0348,0.935,0.00127,0.453,0.91,108.017,214880,4,28.95673,11,"No",21263
0.318,0.476,7,-9.534,1,0.029,0.401,0,0.6,0.633,173.305,161187,3,20.94965,9,"Yes",21264
0.335,0.185,7,-19.82,1,0.325,0.964,6.15e-06,0.269,0.0905,62.37,130533,3,65.09429,5,"No",21265
0.662,0.671,0,-3.045,1,0.0294,0.304,0,0.341,0.92,130.922,118333,4,38.32771,6,"Yes",21266
0.536,0.577,2,-8.955,1,0.0314,0.574,0.000126,0.162,0.496,120.992,218680,4,40.91106,10,"Yes",21267
0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,179613,4,43.48787,9,"Yes",21268
